RUN	perf.TestSimulation	testsimulation	1707067935604	 	3.0.3
USER	mainScenario	1	START	1707067937282	1707067937282
REQUEST	1	open	/webtours/	1707067937315	1707067937743	OK	 
REQUEST	1	open	/cgi-bin/welcome.pl	1707067937785	1707067937929	OK	 
REQUEST	1	open	/cgi-bin/nav.pll	1707067937942	1707067938134	OK	 
GROUP	1	open	1707067937290	1707067939117	764	OK
REQUEST	1	login	/cgi-bin/login.pl	1707067939121	1707067939263	OK	 
REQUEST	1	login	/cgi-bin/login.pl	1707067939268	1707067939468	OK	 
REQUEST	1	login	/cgi-bin/nav.pll	1707067939471	1707067939674	OK	 
GROUP	1	login	1707067939118	1707067940658	545	OK
REQUEST	1	openflights	/cgi-bin/welcome.pl	1707067940659	1707067940795	OK	 
REQUEST	1	openflights	/cgi-bin/reservations.pl	1707067940798	1707067941016	OK	 
REQUEST	1	openflights	/cgi-bin/nav.pl	1707067941020	1707067941211	OK	 
GROUP	1	openflights	1707067940658	1707067942209	545	OK
REQUEST	1	ticketattributes	/cgi-bin/reservations.pl	1707067942210	1707067942436	OK	 
REQUEST	1	ticketattributes	/cgi-bin/reservations.pl	1707067942439	1707067942641	OK	 
REQUEST	1	ticketattributes	/cgi-bin/reservations.pl	1707067942645	1707067942844	OK	 
GROUP	1	ticketattributes	1707067942209	1707067943838	627	OK
REQUEST	1	Itinerary	/cgi-bin/welcome.pl	1707067943839	1707067943970	OK	 
REQUEST	1	Itinerary	/cgi-bin/nav.pl	1707067943973	1707067944177	OK	 
USER	mainScenario	2	START	1707067954290	1707067954290
REQUEST	2	open	/webtours/	1707067954293	1707067954351	OK	 
REQUEST	2	open	/cgi-bin/welcome.pl	1707067954354	1707067954517	OK	 
REQUEST	2	open	/cgi-bin/nav.pll	1707067954520	1707067954630	OK	 
GROUP	2	open	1707067954292	1707067955648	331	OK
REQUEST	2	login	/cgi-bin/login.pl	1707067955650	1707067955736	OK	 
REQUEST	2	login	/cgi-bin/login.pl	1707067955739	1707067955896	OK	 
REQUEST	2	login	/cgi-bin/nav.pll	1707067955900	1707067955970	OK	 
REQUEST	1	Itinerary	/cgi-bin/itinerary.pl	1707067944181	1707067956892	OK	 
GROUP	2	login	1707067955648	1707067956959	313	OK
REQUEST	2	openflights	/cgi-bin/welcome.pl	1707067956962	1707067957028	OK	 
REQUEST	2	openflights	/cgi-bin/reservations.pl	1707067957031	1707067957163	OK	 
REQUEST	2	openflights	/cgi-bin/nav.pl	1707067957166	1707067957260	OK	 
GROUP	1	Itinerary	1707067943838	1707067957889	13046	OK
REQUEST	1	signoff	/cgi-bin/welcome.pl	1707067957890	1707067957957	OK	 
REQUEST	1	signoff	/cgi-bin/nav.pl	1707067957959	1707067958074	OK	 
GROUP	2	openflights	1707067956960	1707067958263	292	OK
REQUEST	2	ticketattributes	/cgi-bin/reservations.pl	1707067958265	1707067958356	OK	 
REQUEST	2	ticketattributes	/cgi-bin/reservations.pl	1707067958359	1707067958460	OK	 
REQUEST	2	ticketattributes	/cgi-bin/reservations.pl	1707067958462	1707067958572	OK	 
GROUP	1	signoff	1707067957889	1707067959059	182	OK
USER	mainScenario	1	END	1707067937282	1707067959062
GROUP	2	ticketattributes	1707067958263	1707067959559	302	OK
REQUEST	2	Itinerary	/cgi-bin/welcome.pl	1707067959561	1707067959724	OK	 
REQUEST	2	Itinerary	/cgi-bin/nav.pl	1707067959727	1707067959842	OK	 
REQUEST	2	Itinerary	/cgi-bin/itinerary.pl	1707067959844	1707067960252	OK	 
GROUP	2	Itinerary	1707067959560	1707067961259	686	OK
REQUEST	2	signoff	/cgi-bin/welcome.pl	1707067961261	1707067961380	OK	 
REQUEST	2	signoff	/cgi-bin/nav.pl	1707067961383	1707067961482	OK	 
GROUP	2	signoff	1707067961260	1707067962489	218	OK
USER	mainScenario	2	END	1707067954290	1707067962489
USER	mainScenario	3	START	1707067971288	1707067971288
REQUEST	3	open	/webtours/	1707067971290	1707067971467	OK	 
REQUEST	3	open	/cgi-bin/welcome.pl	1707067971469	1707067971619	OK	 
REQUEST	3	open	/cgi-bin/nav.pll	1707067971621	1707067971721	OK	 
GROUP	3	open	1707067971290	1707067972738	427	OK
REQUEST	3	login	/cgi-bin/login.pl	1707067972740	1707067972961	OK	 
REQUEST	3	login	/cgi-bin/login.pl	1707067972964	1707067973157	OK	 
REQUEST	3	login	/cgi-bin/nav.pll	1707067973159	1707067973361	OK	 
GROUP	3	login	1707067972739	1707067974362	616	OK
REQUEST	3	openflights	/cgi-bin/welcome.pl	1707067974363	1707067974690	OK	 
REQUEST	3	openflights	/cgi-bin/reservations.pl	1707067974693	1707067974772	OK	 
REQUEST	3	openflights	/cgi-bin/nav.pl	1707067974774	1707067974896	OK	 
GROUP	3	openflights	1707067974362	1707067975891	528	OK
REQUEST	3	ticketattributes	/cgi-bin/reservations.pl	1707067975892	1707067976029	OK	 
REQUEST	3	ticketattributes	/cgi-bin/reservations.pl	1707067976031	1707067976230	OK	 
REQUEST	3	ticketattributes	/cgi-bin/reservations.pl	1707067976233	1707067976378	OK	 
GROUP	3	ticketattributes	1707067975891	1707067977378	481	OK
REQUEST	3	Itinerary	/cgi-bin/welcome.pl	1707067977379	1707067977560	OK	 
REQUEST	3	Itinerary	/cgi-bin/nav.pl	1707067977563	1707067977661	OK	 
REQUEST	3	Itinerary	/cgi-bin/itinerary.pl	1707067977664	1707067978898	OK	 
GROUP	3	Itinerary	1707067977378	1707067979878	1513	OK
REQUEST	3	signoff	/cgi-bin/welcome.pl	1707067979879	1707067979954	OK	 
REQUEST	3	signoff	/cgi-bin/nav.pl	1707067979956	1707067980050	OK	 
GROUP	3	signoff	1707067979878	1707067981068	169	OK
USER	mainScenario	3	END	1707067971288	1707067981069
USER	mainScenario	4	START	1707067988277	1707067988277
REQUEST	4	open	/webtours/	1707067988280	1707067988415	OK	 
